"","ID","NAME","LAT","LONG","ALT","JAN","FEB","MAR","APR","MAY","JUN","JUL","AUG","SEP","OCT","NOV","DEC"
"416","ID38152","CEDARVILLE",41.54,-120.17,1424,48.6,34.4,36,27.2,28.3,21.1,7.7,8.7,12.3,26.5,43.1,42.5
"417","ID38204","CALAVERAS-BIG-TREES",38.28,-120.31,1431,249,218,216,118,38,14,5,8,27,80,198,217
"418","ID38264","MOUNTAIN-PASS",35.46,-115.53,1442,23,22,22,11,7,6,23,36,13,11,21,19
"419","ID38346","CHERRY-VALLEY-DAM",37.96,-119.91,1452,204,189,170,98,33,18,3,8,26,63,177,185
"420","ID38354","LAVA-BEDS-NAT-MONUMENT",41.73,-121.51,1454,42,40,42,26,33,26,11,14,13,34,45,49
"421","ID38514","PORTOLA",39.8,-120.46,1478,100,82,78,31,25,18,7,11,18,38,84,85
"422","ID38557","MINERAL",40.35,-121.6,1486,233,185,193,98,53,33,7,19,38,108,210,213
"423","ID38748","VINTON",39.81,-120.18,1509,54,45,38,19,23,17,8,11,15,27,50,45
"424","ID38770","POSEY-3-E",35.8,-118.63,1512,122,107,115,70,20,9,1,7,15,28,84,107
"425","ID38788","SIERRAVILLE-R-S",39.58,-120.36,1516,120,101,86,36,26,16,7,11,19,52,113,107
"426","ID38789","SIERRAVILLE         USA",39.6,-120.4,1516,127.4,103.1,82.2,39.1,29.7,14.1,7.8,9.3,17.5,51.9,100.2,115.9
"427","ID39168","SO-ENT-YOSEMITE-N-P",37.5,-119.63,1561,205,185,165,94,36,17,3,4,22,51,151,150
"428","ID39218","LAKE SPAULDING",39.32,-120.64,1573,350.6,281.4,264,142.5,84.4,28.7,7.6,12.3,33.7,108.4,235.4,306.7
"429","ID39303","LAKE-ARROWHEAD",34.25,-117.18,1586,191,183,172,83,29,2,4,11,33,39,133,156
"430","ID39336","DEEP-SPRINGS-COLLEGE",37.36,-117.98,1593,15,19,13,14,11,8,16,15,13,5,13,14
"431","ID39454","BLUE CANYON",39.28,-120.7,1609,334.5,263,243.6,137.2,64.8,21.6,1.7,5.9,24.1,94.9,254.3,312.8
"432","ID39484","TERMO-1-E",40.86,-120.43,1615,31,28,28,19,28,24,8,10,16,24,35,34
"433","ID39485","JESS-VALLEY",41.26,-120.3,1615,46,39,49,48,52,36,11,19,23,35,55,51
"434","ID39590","BOWMAN-DAM",39.45,-120.65,1635,291,234,237,116,64,27,9,21,38,121,263,277
"435","ID39597","CRYSTAL-LAKE-FC-283C",34.31,-117.85,1637,164,175,146,71,19,3,2,10,26,23,114,125
"436","ID39616","IDYLLWILD-FIRE-DEPT",33.75,-116.71,1640,112,105,109,51,19,3,20,24,28,22,74,98
"437","ID39748","BENTON-INSPECTION-STN",37.85,-118.48,1665,32,29,17,9,11,12,12,14,8,7,18,26
"438","ID39886","PALOMAR-MT-OBSERVATORY",33.35,-116.86,1692,123,122,124,56,14,3,12,19,18,21,89,113
"439","ID39906","BOCA",39.38,-120.1,1699,97,82,70,34,24,20,14,17,23,35,79,82
"440","ID40180","MOUNT-WILSON",34.23,-118.06,1740,178,192,170,71,16,3,1,8,30,28,128,129
